"ID","MCP_CLIENT","MODEL","END_POINT_TYPE","END_POINT_NAME","LOG_MESSAGE","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY"
72,Trae AI,claude-sonnet-4,tool,run-sql,"INSERT INTO SETORES (CODIGO_SETOR, NOME_SETOR, ORGAO, SETOR, LOTACAO, DESCRICAO, ATIVO, CREATED_AT, UPDATED_AT) VALUES ('ATEN-001', 'Atendimento', 'SECRETARIA DA FAZENDA', 'ATENDIMENTO AO CONTRIBUINTE', 'SEDE - TÉRREO', 'Setor responsável por atendimento ao público e contribuintes', 1, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP)",2025-09-19 09:40:25.391,PROTOCOLO_USER,2025-09-19 09:40:25.391,PROTOCOLO_USER
73,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Avenida JK', NUMERO = 'Lote 28-A', COMPLEMENTO = 'Edifício Via Nobre Empresarial', BAIRRO = 'Centro', CIDADE = 'Palmas', ESTADO = 'TO', CEP = '77066-014', TELEFONE = '(63) 3218-1001', EMAIL = 'rh@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE ID = 25",2025-09-19 09:40:32.036,PROTOCOLO_USER,2025-09-19 09:40:32.036,PROTOCOLO_USER
74,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Rua Vinte e Cinco de Dezembro', NUMERO = '52', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Araguaína', ESTADO = 'TO', CEP = '77804-030', TELEFONE = '(63) 3218-1002', EMAIL = 'ti@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE ID = 26",2025-09-19 09:40:37.894,PROTOCOLO_USER,2025-09-19 09:40:37.894,PROTOCOLO_USER
75,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Avenida Murilo Braga', NUMERO = '1887', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Gurupi', ESTADO = 'TO', CEP = '77400-000', TELEFONE = '(63) 3218-1003', EMAIL = 'financeiro@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE ID = 27",2025-09-19 09:40:43.167,PROTOCOLO_USER,2025-09-19 09:40:43.167,PROTOCOLO_USER
76,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Rua 26 de Julho', NUMERO = 's/n', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Porto Nacional', ESTADO = 'TO', CEP = '77500-000', TELEFONE = '(63) 3218-1004', EMAIL = 'juridico@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE ID = 28",2025-09-19 09:40:48.246,PROTOCOLO_USER,2025-09-19 09:40:48.246,PROTOCOLO_USER
77,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Rua Tapajós', NUMERO = '573', COMPLEMENTO = NULL, BAIRRO = 'Setor Central', CIDADE = 'Paraíso do Tocantins', ESTADO = 'TO', CEP = '77600-970', TELEFONE = '(63) 3218-1005', EMAIL = 'protocolo@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE ID = 29",2025-09-19 09:40:53.803,PROTOCOLO_USER,2025-09-19 09:40:53.803,PROTOCOLO_USER
78,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Rua Presidente Dutra', NUMERO = '263', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Colinas do Tocantins', ESTADO = 'TO', CEP = '77760-000', TELEFONE = '(63) 3218-1006', EMAIL = 'auditoria@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE CODIGO_SETOR = 'AUD-001'",2025-09-19 09:40:58.741,PROTOCOLO_USER,2025-09-19 09:40:58.741,PROTOCOLO_USER
79,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Avenida Bernardo Sayão', NUMERO = 's/n', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Guaraí', ESTADO = 'TO', CEP = '77700-000', TELEFONE = '(63) 3218-1007', EMAIL = 'arrecadacao@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE CODIGO_SETOR = 'ARR-001'",2025-09-19 09:41:04.175,PROTOCOLO_USER,2025-09-19 09:41:04.175,PROTOCOLO_USER
80,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Avenida Independência', NUMERO = 's/n', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Dianópolis', ESTADO = 'TO', CEP = '77300-000', TELEFONE = '(63) 3218-1008', EMAIL = 'fiscalizacao@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE CODIGO_SETOR = 'FISC-001'",2025-09-19 09:41:09.155,PROTOCOLO_USER,2025-09-19 09:41:09.155,PROTOCOLO_USER
81,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE SETORES SET LOGRADOURO = 'Rua da Liberdade', NUMERO = 's/n', COMPLEMENTO = NULL, BAIRRO = 'Centro', CIDADE = 'Tocantinópolis', ESTADO = 'TO', CEP = '77900-000', TELEFONE = '(63) 3218-1009', EMAIL = 'planejamento@sefaz.to.gov.br', UPDATED_AT = CURRENT_TIMESTAMP WHERE CODIGO_SETOR = 'PLAN-001'",2025-09-19 09:41:13.925,PROTOCOLO_USER,2025-09-19 09:41:13.925,PROTOCOLO_USER
