ID;CODIGO_SETOR;NOME_SETOR;ORGAO;ATIVO;CREATED_AT;UPDATED_AT;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CIDADE;ESTADO;CEP;TELEFONE;EMAIL;LATITUDE;LONGITUDE
1;013.DICREFIS;Diretoria da Cobrança e Recup de Créditos Fiscais;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77062048;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1689;-483317
2;013.DRREAT;Delegacia Regional de Fiscalização - Alvorada;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;ALVORADA;TO;75084220;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1690;-491244
3;013.POSFISBAL;Posto Fiscal - Balsa;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;TOCANTINOPOLIS;TO;77900000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1691;-474211
4;013.AGEATBAT;Agência de Atendimento Bandeirantes do Tocantins;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;BANDEIRANTES DO TOCANTINS;TO;77783000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1692;-48579148
5;013.GEDIAT;Gerência da Dívida Ativa;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77006399;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1693;-483317
6;013.DRFARA;Delegacia Regional de Fiscalização - Araguaína;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUAINA;TO;77800000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1694;-482072
7;013.AGEATABR;Agência de Atendimento de Abreulândia;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;ABREULANDIA;TO;77693000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1695;-491558343
8;013.CRAALV;Coordenadoria Regional de Arrecadação - Alvorada;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;ALVORADA;TO;77365000;68 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1696;-491244
9;013.DRFAGI;Delegacia Regional de Fiscalização - Araguatins;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;ARAGUATINS;TO;77800000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1697;-481244
10;013.DRRECT;Delegacia Regional de Fiscalização - Colinas do Tocantins;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;COLINAS DO TOCANTINS;TO;77760000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1698;-484744
11;013.AGEATAGU;Agência de Atendimento de Aguiarnópolis;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;AGUIARNOPOLIS;TO;77908000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1699;-485244
12;013.AGEATALT;Agência de Atendimento de Aliança do Tocantins;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;ALIANCA DO TOCANTINS;TO;77455000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1700;-489409096
13;013.DRREG;Delegacia Regional de Fiscalização - Gurupi;Secretaria da Fazenda;1;;;atualizar endereço;0;complemento do endereço;CENTRO;GURUPI;TO;77400000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;-10.1701;-490686
