ID,CODIGO_SETOR,NOME_SETOR,ORGAO,ATIVO,CREATED_AT,UPDATED_AT,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,TELEFONE,EMAIL,LATITUDE,LONGITUDE
151,013.CRADARA,Coordenadoria Regional de Administração - Araguaína,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Araguaína,TO,77800000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-7.191,-48.2072
152,013.AGEATPME,Agência de Atendimento de Palmeirópolis,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PALMEIROPOLIS,TO,77365000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-13.0428105,-48.4065223
153,013.AGEATPTO,Agência de Atendimento de Paraiso do Tocantins,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Paraíso do Tocantins,TO,77500000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1756,-48.8822
154,013.AGEATPAR,Agência de Atendimento de Paranã,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PARANA,TO,77360000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-12.616747,-47.873378
155,013.CRADCOL,Coordenadoria Regional de Administração - Colinas,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Colinas do Tocantins,TO,77760000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-8.0594,-48.4744
156,013.AGEATPDR,Agência de Atendimento de Pau D´arco,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PAU DARCO,TO,77785000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-7.6139988,-49.3601703
157,013.SUATRI,Superintendência de Administração Tributária,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
158,013.AGEATPEF,Agência de Atendimento de Pedro Afonso,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Pedro Afonso,TO,77710000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-8.9694,-48.1744
159,013.POFISEGE,Posto Fiscal - Serra Geral,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
160,013.GEFISEST,Gerência de Fiscalização de Estabelecimentos,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
161,013.DICONTS,Diretoria de Contabilidade Setorial,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
162,013.AGEATPEI,Agência de Atendimento de Peixe,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PEIXE,TO,77460000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-12.0390993,-48.5392455
163,013.GEIMC,Gerência de Implantação de Custos,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
164,013.GEINFEC,Gerência de Informações Econômico-Fiscais,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
165,013.DICUS,Diretoria de Custos,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
166,013.CRADPAL,Coordenadoria Regional de Administração - Palmas,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
167,013.AGEATPEQ,Agência de Atendimento de Pequizeiro,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PEQUIZEIRO,TO,77730000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-8.594846,-48.9332775
168,013.POSFISTAL,Posto Fiscal - Talisma,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,TALISMA,TO,77483000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-12.797836,-49.0929839
169,013.DIDEC,Diretoria de Demonstrações Contábeis,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
170,013.CRADPNA,Coordenadoria Regional de Administração - Porto Nacional,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PORTO NACIONAL,TO,77500000,68 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.7019786,-48.4110952
171,013.ASIP,Assessoria de Integração e Pesquisa,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
172,013.DIREXEFIN,Diretoria de Execução Financeira,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
173,013.AGEATPIN,Agência de Atendimento de Pindorama do Tocantins,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PINDORAMA DO TOCANTINS,TO,77380000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-11.131074,-47.57263
174,013.AGEATPJB,Agência de Atendimento de Ponte Alta do Bom Jesus,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PONTE ALTA DO BOM JESUS,TO,77315000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-12.0873615,-46.4785732
175,013.AGEATPOT,Agência de Atendimento de Ponte Alta do Tocantins,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PONTE ALTA DO TOCANTINS,TO,77590000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.7454591,-47.5374479
176,013.GEIPLE,Gerência de IPVA e Leilões,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
177,013.ASLAF,Assessoria de Laboratório Forense,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
178,013.DIGEP,Diretoria de Gestão de Pessoas,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
179,013.ASPLA,Assessoria de Planejamento,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
180,013.GASEGT,Gabinete do Secretário Exec de Gestão Tributária,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
181,013.GITCMD,Gerência de ITCMD,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
182,013.CRADPTO,Coordenadoria Regional de Administração - Paraiso,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PARAÍSO DO TOCANTINS,TO,77600000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1752474,-48.886759
183,013.CRADTAG,Coordenadoria Regional de Administração - Taguatinga,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,TAGUATINGA,TO,77320000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-12.402404,-46.4365769
184,013.POSFISTRA,Posto Fiscal - Transamazonica,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Augustinópolis,TO,77980000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-5.4689,-47.8844
185,013.AGEATPNA,Agência de Atendimento de Porto Nacional,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,PORTO NACIONAL,TO,77500000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.7019786,-48.4110952
186,013.GEINFAZ,Gerência de Monitoramento e Insp Adm Fazendária,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
187,013.CRADTOC,Coordenadoria Regional de Administração - Tocantinópolis,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,TOCANTINÓPOLIS,TO,77900000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-6.3280931,-47.4217673
188,013.CRAGUR,Coordenadoria Regional de Arrecadação - Gurupi,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Gurupi,TO,77400000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-11.7292,-49.0686
189,013.GENAC,Gerência de Normas para a apuração de Custos,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
190,013.GENOR,Gerência de Normatização,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
191,013.GENOCON,Gerência de Normatização Contábil,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
192,013.GEPFI,Gerência de Planejamento Financeiro,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
193,013.GEPROC,Gerência de Processos e Procedimentos,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
194,013.GECAED,Gerência de Programação, Capacit e Educação,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
195,013.POFIBEI,Posto Fiscal - Bezerra I,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Arraias,TO,77330000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-12.9294,-46.9394
196,013.POSFISCAS,Posto Fiscal - Caseara,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Caseara,TO,77680000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-9.273159,-49.9576837
197,013.CRAMIT,Coordenadoria Regional de Arrecadação - Miracema,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Miracema do Tocantins,TO,77650000,68 - 1234-5678,atualizar_email@sefaz.to.gov.br,-9.5644,-48.3944
198,013.POFICOMA,Posto Fiscal - Couto Magalhaes,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Couto Magalhães,TO,77750000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-8.2944,-48.2744
199,013.CRAPAL,Coordenadoria Regional de Arrecadação - Palmas,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
200,013.GERCOM,Gerência de Redes e Comunicação,Secretaria da Fazenda,1,,,atualizar endereço,0,complemento do endereço,CENTRO,Palmas,TO,77000000,63 - 1234-5678,atualizar_email@sefaz.to.gov.br,-10.1689,-48.3317
